자동차정비업체명,자동차정비업체종류,소재지도로명주소,소재지지번주소,위도,경도,사업등록일자,면적,영업상태,폐업일자,휴업시작일자,휴업종료일자,운영시작시각,운영종료시각,전화번호,관리기관명,관리기관전화번호,데이터기준일자
일심카센타,03,경기도 가평군 청평면 경춘로 878,경기도 가평군 청평면 청평리 326-1번지,37.7415766,127.423695,1999-08-03,744,01,,,,,,,가평군청,031-580-2295,2021-06-28
조은카센타,03,경기도 가평군 조종면 현창로 66,경기도 가평군 조종면 현리 302-1번지,37.8202352,127.3468199,2003-06-17,323,01,,,,,,,가평군청,031-580-2295,2021-06-28
조종카센타,03,경기도 가평군 조종면 청군로 1205,경기도 가평군 조종면 현리 477-93번지,37.8126207,127.3504526,1999-05-19,496,01,,,,,,,가평군청,031-580-2295,2021-06-28
진도공업사,03,경기도 가평군 가평읍 경춘로 1735-5,경기도 가평군 가평읍 상색리 315-1번지,37.7955173,127.477919,1998-12-30,1117,01,,,,,,,가평군청,031-580-2295,2021-06-28
청평밧데리,03,경기도 가평군 청평면 경춘로 766,경기도 가평군 청평면 청평리 619-38번지,37.7351067,127.4137888,1999-05-11,132.23,01,,,,,,,가평군청,031-580-2295,2021-06-28
춘천카센타,03,경기도 가평군 가평읍 보납로 38-2,경기도 가평군 가평읍 읍내리 410-1번지,37.8307881,127.5146869,1998-10-22,991.73,01,,,,,,,가평군청,031-580-2295,2021-06-28
카마스자동차종합관리 (매직카센타),03,경기도 가평군 가평읍 연인길 6-3,경기도 가평군 가평읍 읍내리 480-5번지,37.8285141,127.5134445,1998-11-06,221.48,01,,,,,,,가평군청,031-580-2295,2021-06-28
평화카센타,03,경기도 가평군 가평읍 보납로18번길 12,경기도 가평군 가평읍 읍내리 461-21번지,37.8298692,127.5126019,1998-10-14,363.63,01,,,,,,,가평군청,031-580-2295,2021-06-28
한일카센타,03,경기도 가평군 조종면 청군로 1311-9,경기도 가평군 조종면 현리 315-4번지,37.8204846,127.3447085,2001-09-26,689,01,,,,,,,가평군청,031-580-2295,2021-06-28
현대자동차청평점,03,경기도 가평군 청평면 경춘로 805-1,경기도 가평군 청평면 청평리 445-67번지,37.7376898,127.417093,1999-02-01,588.42,01,,,,,,,가평군청,031-580-2295,2021-06-28
화랑포카센타,03,경기도 가평군 청평면 경춘로 111,경기도 가평군 청평면 대성리 399-163번지,37.6854456,127.3788126,1998-11-06,99.17,01,,,,,,,가평군청,031-580-2295,2021-06-28
휠타이어 할인 판매점,03,경기도 가평군 조종면 청군로 1188,경기도 가평군 조종면 현리 477-159번지,37.8112288,127.3519564,2002-10-04,656,01,,,,,,,가평군청,031-580-2295,2021-06-28
가평상용현대서비스,01,경기도 가평군 상면 청군로 1990,경기도 가평군 상면 율길리 375-4번지,37.7996243,127.3150364,2019-11-22,10840,01,,,,,,,가평군청,031-580-2295,2021-06-28
광진자동차공업사,03,경기도 가평군 가평읍 경춘로 1879,경기도 가평군 가평읍 하색리 447-7번지,37.8039282,127.4898842,1998-10-08,247,01,,,,,,,가평군청,031-580-2295,2021-06-28
국제모터스,01,경기도 가평군 설악면 자잠로 53-30,경기도 가평군 설악면 신천리 520번지,37.6827778,127.4898846,2014-05-08,1634,01,,,,,,,가평군청,031-580-2295,2021-06-28
금호카센타,03,경기도 가평군 조종면 연인산로 2,경기도 가평군 조종면 현리 282번지,37.8213977,127.3498123,1998-11-09,92,01,,,,,,,가평군청,031-580-2295,2021-06-28
기아카클리닉청평점,03,경기도 가평군 청평면 경춘로 789-1,경기도 가평군 청평면 청평리 441-15번지,37.7366586,127.4157032,2000-10-27,426,01,,,,,,,가평군청,031-580-2295,2021-06-28
넘버원카테크,03,경기도 가평군 가평읍 가화로 173-15,경기도 가평군 가평읍 읍내리 680-5번지,37.8344025,127.510134,1994-11-02,595.04,01,,,,,,,가평군청,031-580-2295,2021-06-28
대창공업사,03,경기도 가평군 북면 가화로 1007,경기도 가평군 북면 목동리 840-19번지,37.8855921,127.5486794,2003-05-21,495.86,01,,,,,,,가평군청,031-580-2295,2021-06-28
덕현자동차공업사,03,경기도 가평군 상면 광신길 1,경기도 가평군 상면 덕현리 391-5번지,37.7613826,127.3940063,2011-07-19,124.98,01,,,,,,,가평군청,031-580-2295,2021-06-28
만능카센타,03,경기도 가평군 가평읍 가화로 33,경기도 가평군 가평읍 대곡리 217번지,37.8227378,127.5158239,2007-06-27,487,01,,,,,,,가평군청,031-580-2295,2021-06-28
대영카써비스,03,경기도 가평군 가평읍 중촌로 9,경기도 가평군 가평읍 읍내리 602-1번지,37.8328763,127.5088854,1998-12-18,472.72,01,,,,,,,가평군청,031-580-2295,2021-06-28
동신자동차공업사,02,경기도 가평군 가평읍 보납로 32,경기도 가평군 가평읍 읍내리 408-2번지,37.8307101,127.5139708,2001-10-24,1579,01,,,,,,,가평군청,031-580-2295,2021-06-28
명석카센타,03,경기도 가평군 가평읍 가화로 173-21,경기도 가평군 가평읍 읍내리 680-3번지,37.8342866,127.5098606,2004-04-16,155,01,,,,,,,가평군청,031-580-2295,2021-06-28
베스트카센타,03,경기도 가평군 가평읍 석봉로 235,경기도 가평군 가평읍 읍내리 672-2번지,37.8357613,127.5084166,2007-01-22,495.86,01,,,,,,,가평군청,031-580-2295,2021-06-28
설악 그린카 써비스,03,경기도 가평군 설악면 신천중앙로 17,경기도 가평군 설악면 신천리 348-1번지,37.6717765,127.4900281,2008-10-29,504,01,,,,,,,가평군청,031-580-2295,2021-06-28
승리카세차장,03,경기도 가평군 가평읍 석봉로 204,경기도 가평군 가평읍 읍내리 615-3번지,37.8330073,127.5098518,1999-08-26,320.66,01,,,,,,,가평군청,031-580-2295,2021-06-28
신안공업사,03,경기도 가평군 청평면 경춘로 964,경기도 가평군 청평면 하천리 493-1번지,37.7476553,127.4294479,1999-08-03,330.57,01,,,,,,,가평군청,031-580-2295,2021-06-28
애니카랜드 가평점,03,경기도 가평군 가평읍 자라섬로 31,경기도 가평군 가평읍 대곡리 42-2번지,37.820486,127.5177732,2003-07-02,577,01,,,,,,,가평군청,031-580-2295,2021-06-28
차박사카서비스,03,경기도 가평군 청평면 강변로 41,경기도 가평군 청평면 청평리 83-14번지,37.7340778,127.4168687,2004-06-10,330.57,01,,,,,,,가평군청,031-580-2295,2021-06-28
종합카써비스,03,경기도 가평군 청평면 구청평로 86,경기도 가평군 청평면 청평리 619-41번지,37.7346613,127.414898,1999-03-02,152.06,01,,,,,,,가평군청,031-580-2295,2021-06-28
테크원모터스㈜,01,경기도 가평군 가평읍 태봉두밀로 34-73,경기도 가평군 가평읍 상색리 171-14번지,37.8042645,127.4870022,2006-01-23,3184,01,,,,,,,가평군청,031-580-2295,2021-06-28
합동자동차공업사,02,경기도 가평군 조종면 청군로 1213,경기도 가평군 조종면 현리 477-8번지,37.8137577,127.349822,1997-05-16,1724,01,,,,,,,가평군청,031-580-2295,2021-06-28
현리맥가이버카,03,경기도 가평군 조종면 청군로 1188-5,경기도 가평군 조종면 현리 477-101번지,37.8114272,127.3518665,2008-06-16,597,01,,,,,,,가평군청,031-580-2295,2021-06-28
모터플랜,03,경기도 가평군 가평읍 연인길 6-3,경기도 가평군 가평읍 읍내리 480-5번지,37.828547,127.5113154,2019-08-13,208,01,,,,,,,가평군청,031-580-2295,2021-06-28
가평경춘카센타,03,경기도 가평군 가평읍 호반로 2626,경기도 가평군 가평읍 대곡리 103-3번지,37.8201245,127.5138864,1998-10-29,462.81,01,,,,,,,가평군청,031-580-2295,2021-06-28
가평점 기아오토큐,03,경기도 가평군 가평읍 가화로 255,경기도 가평군 가평읍 승안리 11-36번지,37.8407357,127.5060194,2017-01-11,826,01,,,,,,,가평군청,031-580-2295,2021-06-28
강남모터스,03,경기도 가평군 설악면 신천중앙로 30,경기도 가평군 설악면 신천리 363-8번지,37.6722219,127.4912551,2012-06-08,190.83,01,,,,,,,가평군청,031-580-2295,2021-06-28
OK카센타,03,경기도 가평군 가평읍 보납로 36,경기도 가평군 가평읍 읍내리 408-8번지,37.830762,127.5144709,1998-10-22,132,01,,,,,,,가평군청,031-580-2295,2021-06-28
헬로우 모터스,03,경기도 고양시 일산동구 산두로 242,경기도 고양시 일산동구 정발산동 1114-6번지,37.67669375,126.7779824,2002-09-10,128,01,,,,,,031-917-5521,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
김박사카,03,경기도 고양시 일산동구 일산로330번길 44,경기도 고양시 일산동구 마두동 832-1번지,37.6655463,126.7865298,2002-09-05,105,01,,,,,,031-901-6224,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
현대자동차정발산점,03,경기도 고양시 일산동구 일산로441번길 81,경기도 고양시 일산동구 정발산동 1181번지,37.67003608,126.7754504,2002-09-30,157,01,,,,,,031-914-0539,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
한일카센타,03,경기도 고양시 일산동구 장항로 297-21,경기도 고양시 일산동구 장항동 566-11번지,37.64272835,126.767842,1999-10-26,73,01,,,,,,031-905-5559,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
풍동오토써비스,03,경기도 고양시 일산동구 고풍로43번길 36-20,경기도 고양시 일산동구 풍동 1061번지,37.66101984,126.7932336,1999-12-07,98,01,,,,,,031-901-5887,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
평화자동차공업사,03,경기도 고양시 일산동구 장항로 333,경기도 고양시 일산동구 장항동 543-13번지,37.64468101,126.7632886,2000-01-13,132,01,,,,,,031-905-7485,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
그린오토카,03,경기도 고양시 일산동구 경의로 375-47,경기도 고양시 일산동구 마두동 863-7번지,37.66266518,126.7902488,2000-01-27,93,01,,,,,,031-902-7307,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
유로카써비스,03,경기도 고양시 일산동구 일산로 283,경기도 고양시 일산동구 마두동 923번지,37.66099804,126.7858331,2000-02-09,71,01,,,,,,031-907-0331,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
원자동차공업사,03,경기도 고양시 일산동구 산두로 9-2,경기도 고양시 일산동구 마두동 910-3번지,37.66059617,126.7879363,2000-04-27,105,01,,,,,,031-901-6635,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
청화카드라이브,03,경기도 고양시 일산동구 장항로 249,경기도 고양시 일산동구 장항동 578-20번지,37.64173544,126.7719941,2000-07-11,129,01,,,,,,031-906-3692,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
경도공업사,03,경기도 고양시 일산동구 성현로 415-7,경기도 고양시 일산동구 문봉동 51번지,37.70058499,126.829198,2000-10-06,91,01,,,,,,031-977-0117,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
문봉 자동차,03,경기도 고양시 일산동구 지영로 1,경기도 고양시 일산동구 문봉동 58-16번지,37.70209573,126.8252733,2000-11-10,401,01,,,,,,031-977-7115,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
정현모터스 그린카랜드,03,경기도 고양시 일산동구 대산로31번길 41,경기도 고양시 일산동구 정발산동 694-10번지,37.6686572,126.7719479,2000-11-24,73,01,,,,,,031-913-2929,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
일산중부점 기아 오토큐,03,경기도 고양시 일산동구 일산로428번길 31,경기도 고양시 일산동구 정발산동 1226-9번지,37.67395951,126.7801923,2001-01-16,82,01,,,,,,031-917-3399,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
오미산3급경정비,03,경기도 고양시 일산동구 성현로 7,경기도 고양시 일산동구 성석동 1256-1번지,37.71013598,126.7878541,2001-02-01,70,01,,,,,,031-977-5744,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
한국지엠백석바로서비스,03,경기도 고양시 일산동구 강송로73번길 7-25,경기도 고양시 일산동구 백석동 1248-2번지,37.64556631,126.7904806,2001-05-22,93,01,,,,,,031-904-8256,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
쌍용자동차일산서비스프라자,03,경기도 고양시 일산동구 고양대로1119번길 41,경기도 고양시 일산동구 식사동 504-5번지,37.66598249,126.8161851,2001-07-25,135,01,,,,,,031-967-6255,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
대광카센타,03,경기도 고양시 일산동구 일산로 207,경기도 고양시 일산동구 마두동 737-3번지,37.65470138,126.7894826,2001-09-03,76,01,,,,,,031-901-9955,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
세진자동차정비센터,03,경기도 고양시 일산동구 고양대로1080번길 54,경기도 고양시 일산동구 식사동 603-28번지,37.66701259,126.8084158,2001-01-05,108,01,,,,,,031-969-0614,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
삼마모터스,02,경기도 고양시 일산동구 성현로135번길 78,경기도 고양시 일산동구 성석동 1035-2번지,37.71135253,126.7987586,2011-08-23,440.5,01,,,,,,031-977-9133,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
오대양공업사,02,경기도 고양시 일산동구 성현로431번길 73-17,경기도 고양시 일산동구 문봉동 16-8번지,37.70001645,126.8345707,2012-01-13,621,01,,,,,,031-966-7546,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
천우모터스㈜,02,경기도 고양시 일산동구 백마로 512,경기도 고양시 일산동구 풍동 118번지,37.66268918,126.804994,2012-05-11,3293,01,,,,,,031-961-0500,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
프리미어오토모빌㈜,02,경기도 고양시 일산동구 백마로 522,경기도 고양시 일산동구 풍동 114-2번지,37.6632838,126.8058799,2012-08-07,683.23,01,,,,,,031-919-3800,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
서울상사 복지자동차 정비센타,03,경기도 고양시 덕양구 화랑로 118,경기도 고양시 덕양구 화전동 512-1번지,37.60834199,126.8694913,2012-08-31,180.72,01,,,,,,1577-0355,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
오토오아시스 관산점,03,경기도 고양시 덕양구 통일로 1032,경기도 고양시 덕양구 관산동 685-79번지,37.70822028,126.8563246,2012-09-24,116.57,01,,,,,,031-966-0841,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
기아오토큐 삼송점,03,경기도 고양시 덕양구 삼송로 140,경기도 고양시 덕양구 삼송동 135-2번지,37.65218282,126.8895583,2012-12-06,200,01,,,,,,02-381-5777,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
명성자동차공업사,03,경기도 고양시 덕양구 흥도로 53,경기도 고양시 덕양구 화전동 455-12번지,37.61386757,126.8669038,2013-02-18,83.9,01,,,,,,02-388-4680,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
대성모터스,03,경기도 고양시 덕양구 도내로 80,경기도 고양시 덕양구 도내동 826-3번지,37.62635611,126.8553858,2013-05-29,179.5,01,,,,,,031-938-2014,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
애니카랜드 삼송점,03,경기도 고양시 덕양구 삼송로 247,경기도 고양시 덕양구 지축동 765-269번지,37.65393417,126.9015951,2013-05-31,102.6,01,,,,,,02-371-7155,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
국일상사,03,경기도 고양시 덕양구 화랑로 183,경기도 고양시 덕양구 화전동 430-1번지,37.61370111,126.8728778,2013-08-12,55,01,,,,,,02-3159-1959,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
경일자동차공업사,03,경기도 고양시 덕양구 통일로 763,경기도 고양시 덕양구 관산동 188-1번지,37.6873356,126.8654212,2013-11-27,34.4,01,,,,,,031-962-8973,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
코리아 모터스(Korea motors),03,경기도 고양시 덕양구 통일로 91-1,경기도 고양시 덕양구 동산동 9-2번지,37.64676172,126.9052215,2014-02-13,48.3,01,,,,,,070-8808-4487,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
78 모터스,03,경기도 고양시 덕양구 혜음로 221,경기도 고양시 덕양구 벽제동 447-1번지,37.7197243485,126.8983141967,2014-04-18,149,01,,,,,,031-964-6372,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
통일로점 현대자동차,03,경기도 고양시 덕양구 통일로 1020,경기도 고양시 덕양구 관산동 685-60번지,37.70705344,126.8569982,2014-05-16,167.4,01,,,,,,031-969-7307,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
블루모터스,03,경기도 고양시 덕양구 동산1로 4,경기도 고양시 덕양구 동산동 358-8번지,37.64343326,126.8865891,2014-05-20,274.5,01,,,,,,02-371-0088,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
강촌현대자동차공업사,02,경기도 고양시 일산동구 장대길 145-5,경기도 고양시 일산동구 장항동 549-2번지,37.64086313,126.7618014,1998-11-06,500,01,,,,,,031-903-3866,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
올리브자동차정비공업사,02,경기도 고양시 일산동구 고양대로 1072,경기도 고양시 일산동구 식사동 609-6번지,37.66923275,126.8096726,2003-01-22,418,01,,,,,,031-969-1472,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
태성자동차공업사,02,경기도 고양시 일산동구 은마길 31-24,경기도 고양시 일산동구 성석동 518-1번지,37.71150839,126.806128,2013-06-26,1409,01,,,,,,,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
양지자동차공업사,02,경기도 고양시 일산동구 멱절길 368-30,경기도 고양시 일산동구 장항동 653-4번지,37.65410803,126.760084,2006-03-22,495,01,,,,,,031-932-5200,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
엠케이모터스,02,경기도 고양시 일산동구 성현로135번안길 117-32,경기도 고양시 일산동구 성석동 1043-21번지,37.71353815,126.7983831,2008-04-24,660,01,,,,,,031-977-4145,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
㈜마일레오토모빌,02,경기도 고양시 일산동구 성석로 188,경기도 고양시 일산동구 성석동 756-5번지,37.69337011,126.7980393,2008-10-28,999,01,,,,,,031-977-2300,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
SC MOTORS,02,경기도 고양시 일산동구 성석로 44,경기도 고양시 일산동구 중산동 10번지,37.68394246,126.791559,2008-11-24,496.96,01,,,,,,031-975-6005,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
MTS KOREA,02,경기도 고양시 일산동구 지영로 54,경기도 고양시 일산동구 지영동 374-9번지,37.70614803,126.8241434,2009-11-23,535.38,01,,,,,,031-975-0020,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
주영공업사,02,경기도 고양시 일산동구 장항로225번길 25,경기도 고양시 일산동구 장항동 591번지,37.64090929,126.7731295,2009-12-08,1058,01,,,,,,031-907-8171,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
㈜베스트토요타 일산서비스,02,경기도 고양시 일산동구 동국로 112,경기도 고양시 일산동구 식사동 789-8번지,37.68175966,126.8037135,2010-04-07,4861.22,01,,,,,,031-969-7701,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
뉴나인모터스,02,경기도 고양시 일산동구 은마길63번길 16,경기도 고양시 일산동구 설문동 512-2번지,37.71389739,126.8065887,2010-06-29,580,01,,,,,,031-976-9573,경기도 고양시 일산동구청,031-8075-6342,2020-05-15
유진카트로닉,03,경기도 고양시 덕양구 마상로 176,경기도 고양시 덕양구 성사동 488-27번지,37.6573504,126.8416992,2006-11-21,72.1,01,,,,,,031-969-5633,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
덕은카공업사,03,경기도 고양시 덕양구 대덕로 158-2,경기도 고양시 덕양구 현천동 260-7번지,37.59428437,126.8643615,2007-07-29,136,01,,,,,,02-372-8407,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
현대자동차공업사,03,경기도 고양시 덕양구 덕은로 40,경기도 고양시 덕양구 덕은동 201-2번지,37.58660649,126.876173,2008-01-17,98.04,01,,,,,,02-3159-2050,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
NIIA(舊상승모터스),03,경기도 고양시 덕양구 중앙로152번길 3,경기도 고양시 덕양구 화전동 203-170번지,37.60194232,126.8716643,2008-02-15,89.05,01,,,,,,02-3159-8256,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
MOBILI카클리닉,03,경기도 고양시 덕양구 은빛로17번길 10,경기도 고양시 덕양구 화정동 928-17번지,37.63870897,126.8299737,2008-04-17,116.22,01,,,,,,031-967-3037,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
덕은카센터,03,경기도 고양시 덕양구 중앙로64번길 92,경기도 고양시 덕양구 화전동 168-2번지,37.59922311,126.8753549,2008-04-24,70.05,01,,,,,,02-3159-8183,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
산성카서비스,03,경기도 고양시 덕양구 행주로15번길 5,경기도 고양시 덕양구 행주내동 127-14번지,37.60103066,126.8281434,2008-08-22,81.76,01,,,,,,031-938-8800,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
한국타이어 T-station 벽제관산점,03,경기도 고양시 덕양구 통일로 1009,경기도 고양시 덕양구 관산동 691-1번지,37.70583133,126.8566785,2008-10-27,225.4,03,2019-05-02,,,,,031-962-7022,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
전국택시복지매장 서오릉정비소,03,경기도 고양시 덕양구 용두로 53,경기도 고양시 덕양구 용두동 295-2번지,37.62302846,126.887336,2008-12-03,233.28,01,,,,,,02-3157-1555,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
현천리자동차공업사,03,경기도 고양시 덕양구 대덕로 86,경기도 고양시 덕양구 현천동 37-5번지,37.59280443,126.8719732,2008-12-08,154,01,,,,,,02-3158-1088,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
삼성카공업사,03,경기도 고양시 덕양구 호수로71번길 126,경기도 고양시 덕양구 토당동 657-13번지,37.62232104,126.8060784,2008-12-08,209.1,01,,,,,,031-971-3786,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
수효자동차,03,경기도 고양시 덕양구 화랑로 36-1,경기도 고양시 덕양구 화전동 576-36번지,37.60203266,126.8705759,2008-12-29,76.59,01,,,,,,02-3159-1630,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
자동차카마을,03,경기도 고양시 덕양구 통일로 1044,경기도 고양시 덕양구 관산동 675-2번지,37.70860124,126.855462,2009-02-09,83.6,01,,,,,,031-962-3060,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
우리종합카센타,03,경기도 고양시 덕양구 고골길 28,경기도 고양시 덕양구 관산동 685-88번지,37.71028633,126.8571599,2009-02-20,131.04,01,,,,,,031-976-9258,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
고양점 기아오토큐,03,경기도 고양시 덕양구 혜음로 17-11,경기도 고양시 덕양구 고양동 240-42번지,37.70217928,126.9010052,2009-04-13,148.5,01,,,,,,031-962-8538,경기도 고양시 덕양구청,031-8075-5342,2020-05-15
